date,day,time,hours,minutes,seconds,totalminutes,totalcount
27-04-21,Tuesday,20:08:45,20,8,45,1208.75,5
,,,0,0,0,0,
27-04-21,Tuesday,20:09:54,20,9,54,1209.9,4
,,,0,0,0,0,
27-04-21,Tuesday,20:10:51,20,10,51,1210.85,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:00,20,11,0,1211,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:24,20,11,24,1211.4,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:29,20,11,29,1211.483333,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:39,20,11,39,1211.65,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:44,20,11,44,1211.733333,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:49,20,11,49,1211.816667,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:54,20,11,54,1211.9,6
,,,0,0,0,0,
27-04-21,Tuesday,20:11:59,20,11,59,1211.983333,7
,,,0,0,0,0,
27-04-21,Tuesday,20:12:11,20,12,11,1212.183333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:12:25,20,12,25,1212.416667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:12:30,20,12,30,1212.5,5
,,,0,0,0,0,
27-04-21,Tuesday,20:17:07,20,17,7,1217.116667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:00,20,49,0,1249,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:04,20,49,4,1249.066667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:10,20,49,10,1249.166667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:14,20,49,14,1249.233333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:49:19,20,49,19,1249.316667,6
,,,0,0,0,0,
27-04-21,Tuesday,20:49:24,20,49,24,1249.4,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:30,20,49,30,1249.5,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:34,20,49,34,1249.566667,7
,,,0,0,0,0,
27-04-21,Tuesday,20:49:39,20,49,39,1249.65,8
,,,0,0,0,0,
27-04-21,Tuesday,20:50:14,20,50,14,1250.233333,2
,,,0,0,0,0,
27-04-21,Tuesday,20:50:19,20,50,19,1250.316667,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:24,20,50,24,1250.4,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:29,20,50,29,1250.483333,5
,,,0,0,0,0,
27-04-21,Tuesday,20:50:34,20,50,34,1250.566667,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:39,20,50,39,1250.65,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:44,20,50,44,1250.733333,7
,,,0,0,0,0,
27-04-21,Tuesday,20:50:49,20,50,49,1250.816667,9
,,,0,0,0,0,
27-04-21,Tuesday,20:50:54,20,50,54,1250.9,9
,,,0,0,0,0,
27-04-21,Tuesday,20:50:59,20,50,59,1250.983333,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:04,20,51,4,1251.066667,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:09,20,51,9,1251.15,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:14,20,51,14,1251.233333,9
,,,0,0,0,0,
27-04-21,Tuesday,20:51:19,20,51,19,1251.316667,11
,,,0,0,0,0,
27-04-21,Tuesday,20:51:24,20,51,24,1251.4,13
,,,0,0,0,0,
27-04-21,Tuesday,20:51:29,20,51,29,1251.483333,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:34,20,51,34,1251.566667,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:39,20,51,39,1251.65,14
,,,0,0,0,0,
27-04-21,Tuesday,20:51:44,20,51,44,1251.733333,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:49,20,51,49,1251.816667,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:54,20,51,54,1251.9,18
,,,0,0,0,0,
27-04-21,Tuesday,20:51:59,20,51,59,1251.983333,18
,,,0,0,0,0,
27-04-21,Tuesday,21:03:53,21,3,53,1263.883333,1
,,,0,0,0,0,
27-04-21,Tuesday,21:03:58,21,3,58,1263.966667,2
,,,0,0,0,0,
27-04-21,Tuesday,21:04:03,21,4,3,1264.05,2
,,,0,0,0,0,
27-04-21,Tuesday,21:04:08,21,4,8,1264.133333,3
,,,0,0,0,0,
27-04-21,Tuesday,21:10:43,21,10,43,1270.716667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:10:48,21,10,48,1270.8,4
,,,0,0,0,0,
27-04-21,Tuesday,21:10:53,21,10,53,1270.883333,4
,,,0,0,0,0,
27-04-21,Tuesday,21:10:58,21,10,58,1270.966667,4
,,,0,0,0,0,
27-04-21,Tuesday,21:11:03,21,11,3,1271.05,6
,,,0,0,0,0,
27-04-21,Tuesday,21:11:08,21,11,8,1271.133333,6
,,,0,0,0,0,
27-04-21,Tuesday,21:11:13,21,11,13,1271.216667,7
,,,0,0,0,0,
27-04-21,Tuesday,21:11:18,21,11,18,1271.3,8
,,,0,0,0,0,
27-04-21,Tuesday,21:11:23,21,11,23,1271.383333,8
,,,0,0,0,0,
27-04-21,Tuesday,21:11:28,21,11,28,1271.466667,10
,,,0,0,0,0,
27-04-21,Tuesday,21:11:33,21,11,33,1271.55,10
,,,0,0,0,0,
27-04-21,Tuesday,21:11:38,21,11,38,1271.633333,12
,,,0,0,0,0,
27-04-21,Tuesday,21:11:43,21,11,43,1271.716667,14
,,,0,0,0,0,
27-04-21,Tuesday,21:11:48,21,11,48,1271.8,16
,,,0,0,0,0,
27-04-21,Tuesday,21:11:53,21,11,53,1271.883333,16
,,,0,0,0,0,
